git log --pretty=format:'%h was %an, %ar, message: %s' > log.log

5bfb6c4 was tclearyUWA, 2 minutes ago, message: update requirements.txt
928f200 was tclearyUWA, 5 minutes ago, message: add files for app setup
fdccde8 was tclearyUWA, 18 minutes ago, message: externalise some js
cf2ed81 was tclearyUWA, 25 minutes ago, message: start externalising javascript
193d853 was tclearyUWA, 46 minutes ago, message: REMOVE hz lines from readme
be68a2b was tclearyUWA, 47 minutes ago, message: update todo
47a5803 was tclearyUWA, 51 minutes ago, message: update readme
bf53253 was tclearyUWA, 51 minutes ago, message: finish readme except for testing and launch part
0af1dfd was tclearyUWA, 62 minutes ago, message: update readme
60b20dc was tclearyUWA, 70 minutes ago, message: start the readme
e4dba1f was tclearyUWA, 2 hours ago, message: fix user profile data
3e17742 was tclearyUWA, 2 hours ago, message: send user to correct route when using button on index page
4ff963a was tclearyUWA, 2 hours ago, message: fixed spacing on calvins page
52ae2cc was tclearyUWA, 3 hours ago, message: add style to user stats admin page
e39c48e was tclearyUWA, 3 hours ago, message: add styling to admin user_attempts page
02268ca was tclearyUWA, 3 hours ago, message: seperate pages only users will see into seperate folder
9dad3f0 was tclearyUWA, 4 hours ago, message: added titles to pages
2d87d98 was tclearyUWA, 4 hours ago, message: move  non-flaskadmin admin pages to seperate directory
20b4277 was tclearyUWA, 4 hours ago, message: removed css from login page
1157c67 was tclearyUWA, 4 hours ago, message: remove styling from register page
7dfdc68 was tclearyUWA, 4 hours ago, message: removed css from index page
ed30d30 was tclearyUWA, 4 hours ago, message: fix jasons login and register pages
198bbcc was tclearyUWA, 5 hours ago, message: fix the src address for all images jason has added to new index
a0bc88d was tclearyUWA, 5 hours ago, message: add jasons new images
e94b9c2 was tclearyUWA, 5 hours ago, message: add new index page
f669a38 was tclearyUWA, 6 hours ago, message: remove css from user_profile.html
1c0ff64 was tclearyUWA, 6 hours ago, message: remove link to old stylesheet from results.html
eed8f9e was tclearyUWA, 6 hours ago, message: remove css from results page
13f0594 was tclearyUWA, 6 hours ago, message: add css for quiz questions page
3409f35 was tclearyUWA, 6 hours ago, message: removed css from quiz questions page
7c22b9e was tclearyUWA, 7 hours ago, message: quizLanding css -> exTrees.css
